AAV2020;CS6;CS2;CS3;CS5
BAL;13820.71;2474.42;8912.65;13120.79
CHA;54.29;15.12;20.13;9.53
GEN;40785.18;12940.25;40178.61;58402.38
LAU;1118.85;336.47;1093.03;1771.33
LUX;31555.46;5767.77;17952.16;42516.29
MON;5386.47;2274.99;4210.04;11402.47
SAR;4314.57;604.55;1385.94;3949.16
1;761203.54;317625.71;1833140.14;1434286.41
2;155566.39;66047.68;255323.80;237974.24
3;110014.17;54532.50;158879.81;202646.11
4;109382.38;31080.26;146923.13;162199.79
5;91258.02;41862.49;187168.15;156039.57
6;97791.21;46405.81;139532.26;158340.14
8;76938.06;27012.33;117335.88;109565.56
9A1;17027.44;11814.86;12768.42;33878.10
9A2;2273.14;1096.87;1722.17;5285.33
9A3;370.43;202.67;215.49;747.88
9B1;21461.35;10618.42;14849.65;42572.18
9B2;601.10;136.31;84.29;665.06
9B3;669.68;93.08;68.64;654.84
9C1;8232.29;3860.99;6703.99;15397.71
9C2;2773.75;417.98;975.00;2665.10
9C3;1625.29;456.21;1273.95;2844.61
9D1;16631.96;7198.76;15250.43;34697.80
9D2;12511.76;6011.78;6928.87;23408.96
9D3;2401.22;462.74;322.64;3342.25
9D4;10472.57;4568.94;8700.42;17737.84
9D5;3419.44;1000.36;921.71;5370.80
9D6;2979.82;993.73;818.05;5017.19
9D7;494.47;120.60;55.80;535.35
10;73616.61;20498.99;79703.84;93681.21
12;44527.06;28247.43;75624.66;84282.55
13;61481.50;18350.66;81777.53;84178.86
14;47619.00;18859.49;80691.48;74506.97
15;60104.20;14755.92;50641.31;77211.45
17;37349.90;23446.87;48120.02;74533.82
18;34181.11;19775.89;32483.18;69484.72
19;40449.75;12926.34;39944.39;58569.60
20;35482.70;11107.57;38962.82;58074.08
22;39370.97;13017.46;42896.10;55017.09
23;43931.36;13211.44;28464.35;51800.27
24;39798.24;12273.51;33696.04;54157.88
25;41109.66;10638.52;36932.52;50182.38
26;38169.87;11482.70;34172.07;49543.09
28;33859.43;10432.20;33248.36;46492.90
29;41858.54;9059.03;22976.45;43749.39
30;27095.29;14100.23;17006.41;44147.74
31;22803.30;17856.84;32107.18;43845.70
32;28532.48;8264.31;29929.59;42609.14
33;30098.10;8570.09;29816.12;44351.84
34;33930.77;7876.41;22157.47;42474.11
35;29948.69;6737.87;23407.16;39091.06
36;29019.74;8600.11;26246.95;39134.29
37;23468.00;11267.40;18779.59;39388.56
38;32067.52;5684.32;15635.17;33885.59
39;30742.86;5924.06;16962.12;36357.30
40;26339.18;11961.42;20399.59;35516.72
41;25099.27;8128.66;19542.96;35301.15
42;33393.73;5123.49;10212.87;35720.55
43;25744.55;10771.14;28584.04;33323.16
44;20408.86;8315.75;20711.98;31239.45
45;22706.54;6909.63;21668.55;31227.27
46;19512.84;6517.18;21003.86;35211.69
47;20742.73;11586.59;18983.20;33879.96
48;25279.33;4583.17;11085.86;28406.89
49;22022.30;7628.63;17638.88;27843.04
50;20431.80;7937.79;21416.58;28357.60
51;17463.99;8690.45;16734.09;27088.37
52;21385.31;7270.07;13444.04;24844.61
53;19427.51;6604.74;13539.55;24380.34
54;19548.11;5231.17;11083.21;24164.16
55;21303.31;5915.00;12716.70;23132.74
56;18558.54;5651.42;10753.43;22128.86
57;16224.54;6586.29;13622.55;22930.50
58;21079.08;5084.13;12739.26;23411.99
59;19838.83;3315.67;7872.96;21480.88
60;13555.77;6968.73;7247.23;20784.35
61;21204.37;3512.77;8099.74;16477.49
62;15694.51;4944.35;10417.73;20798.68
63;15321.69;4488.85;14164.43;22131.81
64;14941.31;3835.06;9929.21;20499.29
65;16306.50;3877.14;11818.68;19393.70
66;19687.21;4398.33;8884.45;20303.02
67;24761.61;4484.13;8431.17;17903.48
68;16410.94;3495.19;6787.54;18610.38
69;13702.96;3183.02;11348.28;17521.81
70;15878.92;4304.62;7908.55;17230.08
71;14841.26;2980.45;9867.10;18414.93
72;11046.19;5390.18;5676.84;15716.49
73;13765.67;2719.12;5114.92;17994.22
74;12908.18;3747.86;8934.47;15522.83
75;16381.45;3286.15;8171.42;15845.44
76;14686.39;3406.37;7414.45;15875.39
77;13670.48;2130.97;3947.75;14127.99
78;12972.08;3180.98;10777.76;14731.59
79;13626.04;4205.43;5961.93;15049.69
80;14271.06;4078.67;7301.75;15418.80
81;11481.31;4276.22;7376.53;16485.22
82;9472.89;4337.92;7117.60;14968.70
83;13047.23;3067.91;7810.31;16048.90
84;14773.35;4290.27;7464.38;15500.33
85;10111.68;3889.43;6090.66;16722.18
86;11583.93;2950.91;9979.25;13664.60
87;12231.76;4376.71;6431.25;15218.91
88;10560.52;5093.04;7233.06;15678.07
89;9053.80;4881.38;4244.85;13405.05
90;12415.75;2750.16;4855.41;14177.23
91;8334.29;4127.47;5295.04;15174.51
92;7531.14;5698.08;5880.97;14292.18
93;10134.81;3749.12;6592.77;14501.76
94;11432.11;2199.39;4778.80;12449.33
95;11004.99;3142.55;5877.44;13706.14
96;13815.68;2685.18;4412.37;12664.83
97;9713.62;2327.48;5060.27;12105.36
98;8730.86;4227.58;5979.61;16822.32
100;10688.60;2674.95;5082.93;13315.86
101;9322.94;3748.33;5755.80;14469.05
102;10560.07;2884.50;5420.19;12779.97
103;9483.94;3879.61;6110.49;12282.90
104;8551.87;4828.91;4997.49;14712.99
105;8485.27;3683.21;4508.76;12193.02
106;9300.25;2692.43;4814.74;13026.32
107;9097.77;3133.91;5255.48;10363.65
108;9656.11;1969.56;4078.15;9562.19
109;7476.76;2103.18;3276.60;10530.71
110;8199.62;2588.73;3715.68;9487.41
111;8781.45;3210.57;3910.86;10913.36
112;8211.49;1845.47;4536.19;10681.42
113;5843.55;2716.27;5513.11;8038.75
114;8356.73;2078.17;3483.01;9104.30
115;6890.14;2666.90;3522.99;10029.70
116;7330.90;1927.50;3425.08;9038.66
117;8967.32;1864.63;3034.63;8093.50
118;8319.39;2103.79;3753.21;8868.48
119;5767.05;2809.90;3679.98;9721.34
120;6744.78;2772.14;3920.67;9273.16
121;8876.24;1607.46;3612.03;8726.27
122;6819.46;1707.68;3021.29;9410.38
123;6806.37;2544.39;3263.15;9630.80
124;8798.83;1994.56;3256.10;8779.91
125;6606.26;1561.67;4157.08;8848.43
126;5171.52;3419.35;3531.88;9373.20
127;9705.22;1764.29;4580.60;10276.77
128;7305.87;1661.23;3160.47;7690.33
129;5845.87;2792.04;2477.67;7971.38
130;6634.39;1826.22;3135.47;7498.02
131;4198.37;3267.57;2302.78;7253.96
132;7539.82;2028.54;3294.40;7714.68
133;7379.25;1966.29;2924.44;7469.90
134;6908.98;1807.50;3281.39;7552.33
135;5142.95;1917.86;5690.89;7669.90
136;6396.16;1214.42;2728.72;7564.47
137;5205.46;2532.28;4499.53;6740.68
138;7426.52;1653.91;2516.70;7246.81
139;5568.55;3046.94;3384.29;7509.57
140;5519.11;2121.11;2903.82;8864.55
141;6296.84;2153.25;3456.27;6878.43
142;6519.59;1796.45;2396.57;6444.71
143;4808.49;2653.73;2672.59;7498.72
144;7341.14;1464.83;3517.16;5915.39
145;4947.50;1961.76;3295.13;7377.04
146;6117.75;1230.05;1991.53;7359.78
147;7343.80;1809.16;2635.43;6407.09
148;5383.14;2786.84;2584.51;6201.38
149;5409.48;1868.67;2883.55;6548.48
150;4411.34;2077.89;3140.72;5962.13
151;5968.65;1912.97;4064.67;7918.18
152;7002.37;1647.67;2926.65;5972.60
153;4275.77;2147.74;2888.26;6527.59
154;5061.33;1962.51;1815.48;5994.98
155;8618.08;1765.90;3144.23;7342.22
156;6889.14;882.23;1329.54;6122.57
157;6873.92;1441.15;2626.54;5650.96
158;6843.21;1359.64;4010.21;6144.75
159;5345.28;1816.50;2727.55;5856.98
160;5886.54;1185.49;2423.33;7269.39
161;6744.54;1652.30;2505.44;5850.07
162;6028.27;1685.82;2074.93;6591.32
163;8964.23;1893.17;2383.65;5342.48
164;5522.92;1291.60;2023.41;6229.11
165;4568.20;1966.13;2427.46;6249.20
166;2826.50;2552.22;1528.65;5225.85
167;6242.58;1877.21;2752.84;6226.38
168;8065.81;1598.31;2220.67;4406.43
169;7975.66;1355.42;2711.30;5823.99
170;6304.10;1152.12;2173.20;6340.82
171;6404.46;1242.42;1664.37;5090.14
172;6179.04;1314.13;1923.69;5113.67
173;9129.57;1321.10;2303.25;5426.13
174;5607.04;2135.46;2846.67;5576.75
175;5271.78;1570.49;1777.37;5450.01
176;4722.22;1013.88;1479.70;5053.47
177;5026.69;1125.32;2077.47;5236.53
178;5311.21;1029.84;2127.57;4973.61
179;3692.66;1251.26;1916.66;5655.68
180;6269.21;1771.02;1682.13;5453.66
181;7325.80;1258.88;2178.31;5741.60
182;4462.09;1222.77;2508.10;5008.89
183;4300.32;992.49;1902.82;4735.52
184;6200.63;841.46;1771.75;6535.15
185;3949.64;1327.78;2619.35;4276.72
186;3721.26;1583.33;1986.05;5027.58
187;4756.52;1552.98;2542.55;5420.23
188;5497.11;1377.76;1988.49;4731.86
189;6920.05;1313.00;1741.28;4340.85
190;4194.62;1446.67;2260.86;4151.85
191;8192.49;905.75;1584.47;4447.68
192;4502.22;1774.07;1609.75;4646.01
193;4417.69;1056.43;1756.27;5876.59
194;5075.47;1257.66;1730.79;5443.99
195;3266.99;1518.74;1635.82;4976.15
196;4667.40;1036.89;1653.60;4052.72
197;4360.88;737.33;1448.93;4359.69
198;5886.45;1144.20;1424.40;4436.23
199;3641.90;1505.38;1891.54;5990.45
200;2371.29;1275.11;2041.04;4104.28
201;4442.11;1664.25;2061.53;3891.53
202;7250.56;1392.03;2457.61;4710.94
203;4605.74;1413.58;1363.74;4660.13
204;4749.94;1057.33;1367.18;4684.34
205;4388.38;1509.41;1711.23;4448.94
206;3049.57;1082.95;1530.78;5322.38
207;4940.69;1036.86;1431.87;4309.43
208;3727.33;880.48;1278.92;4080.57
209;4414.25;952.97;1644.32;4312.11
210;3995.75;1305.52;1711.32;4376.04
211;1947.43;1437.78;2116.59;4120.96
212;7046.84;1251.17;1326.27;4859.22
213;3121.79;1524.31;1396.86;4032.35
214;3909.44;1131.69;1585.89;3725.93
215;3621.46;995.83;1293.35;3934.94
216;3955.64;756.15;1006.47;3808.19
217;5285.28;908.30;1100.37;3885.28
218;4211.67;763.77;1097.57;3668.01
219;4428.82;811.86;1312.27;3670.34
220;3364.18;817.68;1232.16;3781.31
221;3903.34;632.33;832.54;4067.34
222;3224.36;1061.14;1172.00;3454.69
223;3607.68;778.24;1109.43;3552.65
224;3108.36;1269.33;1457.40;4189.17
225;4017.27;1192.19;1051.52;3401.82
226;2940.60;1257.03;1940.66;3413.42
227;5080.37;827.50;1125.01;3252.59
228;4722.19;842.14;1044.77;3470.00
229;5354.70;635.39;749.55;3278.80
230;3312.48;1028.70;1226.22;3542.26
231;2724.08;1547.01;2004.42;3602.75
232;3906.51;641.29;835.22;3220.49
233;2609.29;1884.85;1053.20;3473.32
234;3499.58;911.35;1463.34;3479.25
235;2235.37;891.29;1172.95;3825.99
236;3364.11;753.98;1381.98;3719.81
237;4110.34;963.33;1338.68;3473.20
238;2356.35;1683.10;1383.01;3953.33
239;2832.23;994.24;1270.03;3117.52
240;3475.37;952.88;1319.13;3342.63
241;3514.18;894.23;967.32;3315.42
242;3482.48;604.41;969.62;3216.48
243;3627.04;746.71;1797.68;3625.63
244;4229.70;874.93;1281.30;3109.31
245;2421.27;1179.62;1126.76;2980.61
246;4831.32;675.00;625.48;2777.28
247;2505.31;965.06;1248.12;3431.49
248;3709.23;810.08;896.48;2617.81
249;3334.16;1369.63;2138.84;4101.99
250;3697.74;571.60;954.23;3587.05
251;1854.68;1070.19;1536.15;3567.54
252;3741.52;702.66;941.68;2964.54
253;2891.51;911.89;1158.13;3094.56
254;2648.07;827.82;939.31;3049.00
255;3747.05;970.42;1134.81;3100.92
256;3031.05;321.46;747.65;3204.55
257;2720.68;750.88;1128.35;2981.36
258;4927.63;754.07;891.18;3148.15
259;3262.29;712.64;891.65;2924.75
260;3476.66;714.05;972.38;2826.16
261;2471.75;1199.75;1847.46;3492.28
262;2774.17;718.54;843.00;2825.49
263;2878.02;573.46;829.76;2709.31
264;2978.21;531.59;723.59;2945.77
265;2657.64;944.04;1136.23;3160.71
266;2161.62;1106.74;1185.67;3309.21
267;2253.66;779.41;1326.16;3134.98
268;2348.48;820.96;1230.63;3820.45
269;2962.48;535.73;754.39;2748.41
270;3568.57;537.29;848.28;2743.83
271;2769.32;935.76;1048.62;2508.52
272;2766.14;669.10;1030.06;3019.47
273;2515.12;434.15;969.90;2801.26
274;2630.01;578.30;1245.69;2805.22
275;1766.98;1255.59;845.42;2443.92
276;3101.66;624.54;743.31;2858.06
277;2762.83;552.53;725.11;2469.88
278;2009.61;761.81;1352.10;3369.42
279;2411.65;786.53;749.94;2690.44
280;3165.23;457.56;748.53;2418.78
281;1662.82;852.59;1345.67;2868.35
282;2090.39;843.75;827.24;2903.88
283;2739.60;378.93;571.80;2662.59
284;1692.57;940.44;844.39;2729.11
285;2677.13;821.71;995.56;2918.00
286;2910.17;738.90;1128.22;2634.64
287;2411.45;403.79;565.63;2074.02
288;2887.96;648.30;906.85;2567.71
289;2924.82;595.75;725.72;2975.64
290;1669.28;1135.07;1093.43;3053.90
291;2671.76;585.36;979.16;2595.32
292;1932.69;887.43;834.61;2201.78
293;3008.24;492.27;727.01;2257.72
294;2014.21;706.60;837.80;2552.89
295;2454.97;724.19;1102.61;2566.16
296;2237.30;628.12;1064.89;2427.16
297;2750.09;561.74;637.83;2409.96
298;1943.72;1572.35;773.43;2959.10
299;2490.27;601.21;1183.25;2552.80
300;2164.76;572.38;647.09;2575.67
301;2216.57;1034.33;1059.55;3056.00
302;1242.76;1449.16;1320.22;2291.80
303;2375.85;329.74;771.76;2379.78
304;1659.65;1031.62;1363.18;2316.72
305;2530.26;623.32;582.95;2076.53
306;1469.58;882.99;1138.63;2228.02
307;2576.65;643.81;746.59;2345.94
308;2446.20;310.28;398.02;2122.61
309;2153.74;472.27;722.13;2587.74
310;1908.68;645.03;953.75;2275.46
311;2452.96;683.25;583.62;2425.58
312;1504.29;666.81;609.91;2762.76
313;4303.11;514.06;966.22;2333.65
314;1354.28;860.36;565.25;2300.82
315;1974.70;520.70;747.30;2312.64
